sample,author,category
1,149,refactoring-inducing
1,1248,refactoring-inducing
1,1302,refactoring-inducing
1,3127,refactoring-inducing
1,1372,refactoring-inducing
1,184,refactoring-inducing
1,384,refactoring-inducing
1,778,refactoring-inducing
1,155,refactoring-inducing
1,498,refactoring-inducing
1,550,refactoring-inducing
1,391,non-refactoring-inducing
1,25711,non-refactoring-inducing
1,1035,non-refactoring-inducing
1,861,non-refactoring-inducing
1,69,non-refactoring-inducing
1,33,non-refactoring-inducing
1,76,non-refactoring-inducing
2,1032,refactoring-inducing
2,3904,refactoring-inducing
2,308,refactoring-inducing
2,1372,refactoring-inducing
2,1132,refactoring-inducing
2,39,refactoring-inducing
2,323,refactoring-inducing
2,1348,refactoring-inducing
2,28938,refactoring-inducing
2,145,refactoring-inducing
2,1933,non-refactoring-inducing
2,1039,non-refactoring-inducing
2,1278,non-refactoring-inducing
2,11978,non-refactoring-inducing
2,1145,non-refactoring-inducing
2,2076,non-refactoring-inducing
2,1039,non-refactoring-inducing
3,46,refactoring-inducing
3,5738,refactoring-inducing
3,125,refactoring-inducing
3,115,refactoring-inducing
3,250,refactoring-inducing
3,510,refactoring-inducing
3,86,refactoring-inducing
3,38,refactoring-inducing
3,80,refactoring-inducing
3,1871,refactoring-inducing
3,43,refactoring-inducing
3,16,refactoring-inducing
3,905,refactoring-inducing
3,111,non-refactoring-inducing
3,42,non-refactoring-inducing
3,1039,non-refactoring-inducing
3,1201,non-refactoring-inducing
3,136,non-refactoring-inducing
3,625,non-refactoring-inducing
3,158,non-refactoring-inducing
3,18,non-refactoring-inducing
3,97,non-refactoring-inducing
3,6545,non-refactoring-inducing
3,7763,non-refactoring-inducing
4,20,refactoring-inducing
4,2,refactoring-inducing
4,1187,refactoring-inducing
4,1100,refactoring-inducing
4,199,refactoring-inducing
4,64,refactoring-inducing
4,1451,refactoring-inducing
4,27,refactoring-inducing
4,1,refactoring-inducing
4,2610,refactoring-inducing
4,13955,refactoring-inducing
4,3,refactoring-inducing
4,32,refactoring-inducing
4,1302,refactoring-inducing
4,29,refactoring-inducing
4,328,refactoring-inducing
4,1356,refactoring-inducing
4,7171,refactoring-inducing
4,1639,refactoring-inducing
4,556,refactoring-inducing
4,3,refactoring-inducing
4,14288,refactoring-inducing
4,476,refactoring-inducing
4,946,refactoring-inducing
4,12467,refactoring-inducing
4,3143,refactoring-inducing
4,13254,refactoring-inducing
4,21,non-refactoring-inducing
4,214,non-refactoring-inducing
4,1039,non-refactoring-inducing
4,1174,non-refactoring-inducing
4,2356,non-refactoring-inducing
4,4104,non-refactoring-inducing
4,577,non-refactoring-inducing
4,35074,non-refactoring-inducing
4,1627,non-refactoring-inducing
4,97,non-refactoring-inducing
4,2,non-refactoring-inducing
4,200,non-refactoring-inducing
4,75,non-refactoring-inducing
4,11068,non-refactoring-inducing
4,160,non-refactoring-inducing
4,10,non-refactoring-inducing
4,8267,non-refactoring-inducing
4,2841,non-refactoring-inducing
